Chapter,Location,Context Esp,Latitude,Longitude,Reality,Page,Section,Character category,Type of Space,Date in novel
,Complejo Egara,,41.554359,2.067889,,261-263,10,,,
,Complejo Egara,,41.553819,2.068200769,,268-269,10,,,
,"la Vila Universitaria, UAB",,41.49993856,2.097066559,,270,10,,,
,la casa de Ana y Pocoví,,41.500931,2.090439,,270,10,,,
,"la Vila Universitaria, UAB",,41.499684,2.097172,,271,10,,,
,el bosque,,41.504672,2.109953,,271,10,,,
,la Mutua de Sabadell,,41.550011,2.105143,,271,10,,,
,la facultad de Filosofía y Letras,,41.503074,2.107820769,,222-224,9,,,
,la Illa Diagonal,,41.389654,2.135108,,213-214,9,,,
,N-156 y A-7,,41.895466,2.774985,,245,9,,,
,el Consulado General de Rumanía,,41.407716,2.129848,,210,9,,,
,Complejo Egara,,41.553819,2.067577231,,245,9,,,
,el peaje de Cardedeu-La Roca,,41.612769,2.350091,,246,9,,,
,el área de servicio de Montcada,,41.493044,2.181911,,248,9,,,
,Nou Barris,,41.440542,2.177363,,253,9,,,
,Londres,,51.507797,-0.123603,,253,9,,,
,Aeropuerto de Gerona,,41.898416,2.766312,,254,9,,,
,la facultad de Filosofía y Letras,,41.503074,2.107197231,,218,9,,,
,el aeropuerto del Prat,,41.297101,2.083262,,221,9,,,
