Chapter,Location,Context Esp,Latitude,Longitude,Reality,Page,Section,Character category,Type of Space,Date in novel
,la comisaría de Cerdañola,,41.486248,2.123817,,42,2,,,
,los estudios de TV3,,41.374588,2.070663,,55,2,,,
,la pensión La Palomera,,41.379453,2.168721,,27,2,,,
,Bucarest,,44.426772,26.108026,,27,2,,,
,los estudios de TV3,,41.374048,2.070974769,,33,2,,,
,el aeropuerto del Prat,,41.297821,2.083262,,47,2,,,
,Milán,,45.464425,9.186577,,48,2,,,
,la Universidad Autónoma de Barcelona,,41.50202,2.104511769,,49,2,,,
,estación de tren de Bellaterra,,41.500888,2.090515,,13,1,,,
,estación de tren de Cerdañola,,41.497197,2.115333,,13,1,,,
,"la Vila Universitaria, UAB",,41.49942944,2.097066559,,13,1,,,
,Vila de Gràcia,,41.408949,2.151883,,13,1,,,
,el cine Verdi,,41.404345,2.157777,,13,1,,,
,el metro de Fontana,,41.402629,2.152726,,13,1,,,
,el metro de Lesseps,,41.405741,2.150406,,13,1,,,
,la oficina de Casasaies,,41.502894,2.107509,,20,1,,,
,la Universidad Autónoma de Barcelona,,41.50256,2.1042,,11,1,,,
,la facultad de Filosofía y Letras,,41.502714,2.107820769,,11,1,,,
