Author,Book,Chapter,Page,Location,Image,Latitude,Longitude,Context.esp,Context.eng,Characters,Reality,Category,Structure.type,Exactness
Muñoz Gijón,Sevilla Este,25,266,Pajaritos de Triana,,37.381803,-6.008589,"El cuarto cuerpo está descubierto qui, por la hija del dueño de este bar",,Norberto (V4),Semi-real,Cuerpo,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,25,266,Pajaritos de Triana,,37.381803,-6.008588,"Villanueva y Jiménez hablan con la hija de Norberto, el quarto víctima, dueño de este bar famoso",,"Villanueva, Jiménez",Semi-real,Cuerpo,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,27,280,El hotel HABA Triana,https://d.otcdn.com/imglib/hotelfotos/8/155/hotel-ribera-de-triana-sevilla-032.jpg,37.389135,-6.007477,Villanueva ve la entrevista con el Hermano Mayor en la tele,,Villanueva,Real,Investigador,Hotel,1
Muñoz Gijón,Sevilla Este,28,292,Despacho de Jesús Gamero,,37.406097,-5.998759,Villanueva y Jiménez vienen a hablar con el periodista quien entrevistó al Hermano Mayor,,"Villanueva, Jiménez, Jesús Gamero",Real,Investigador,Business,1
Muñoz Gijón,Sevilla Este,29,298,Las grúas de la esclusa,,37.355001,-5.994721,"El quinto y sexto cuerpo se estan descubierto, colgado por la grúa y muerto por la asfixiación debido a una tarta vegetal",,Luis Márquez Cavaleri (V5),Real,Cuerpo,Exterior,1
Muñoz Gijón,Sevilla Este,29,298,Las grúas de la esclusa,,37.355002,-5.994731,"El quinto y sexto cuerpo se estan descubierto, colgado por la grúa y muerto por la asfixiación debido a una tarta vegetal",,Juan Llamas Carmona (V6),Real,Cuerpo,Exterior,1
Muñoz Gijón,Sevilla Este,30,304,Tanatorio del (hospital) Virgen del Rocío,https://www.diariodesevilla.es/2018/12/08/sevilla/hospital-Virgen-Rocio-Sevilla_1307579815_92304075_667x375.jpg,37.362094,-5.979751,Villanueva y Jiménez aprenden cómo mueron los últimas víctimas y quienes eran,,"Villanueva, Jiménez, Antonio Povedano",Real,Investigador,Municipal,1
Muñoz Gijón,Sevilla Este,31,310,Bar Tremendo,http://sevilla.abc.es/Media/201412/12/bar-tremendo-cervezas3--644x362.jpg,37.392967,-5.988707,Jiménez toma una cerveza en el tremendo mientas Villanueva va en la hemeroteca,,Jiménez,Real,Descanso,Bar Restaurant,1
Muñoz Gijón,Sevilla Este,31,310,La hemeroteca,,37.392799,-5.988632,"Villanueva repasa todos los periódicos desde 1980, buscando alguna pista",,Villanueva,Real,Pista,Municipal,1
Muñoz Gijón,Sevilla Este,33,326,Muebles Quealta en Dos Hermanas,,37.275925,-5.931972,Villanueva y Jiménez hablan con el dueño de muebles quealta sobre el acidente en e año 2000,,"Villanueva, Jiménez, don Rafael",Semi-real,Investigador,Business,1
Muñoz Gijón,Sevilla Este,35,342,Palacio de la condesa del Arsa,,37.392248,-5.993689,Villanueva y Jiménez vienen a preguntar a la condesa más informacion sobre el terreno en su nombre,,"Villanueva, Jiménez, Condesa del Arsa",Semi-real,Investigador,Home,1
Muñoz Gijón,Sevilla Este,37,362,Puente de los bomberos,,37.384871,-5.984333,Villanueva y Jiménez buscan el punto desde cual uno puede ver diez señales,,"Villanueva, Jiménez",Fictional,Cuerpo,Home,5
