Author,Book,City,Chapter,Page,Location,Latitude,Longitude,Image,Context esp,Context eng,Characters,Reality,Category,Structure type,Exactness
Riera,Naturaleza,Barcelona,4,95,los estudios de TV3,41.374048,2.070351231,,Marcel Bru confiesa que había ido a buscar a Laura Cremona allí,Marcel B confesses that he went to pick up Laura here,Bru,Real,Sospechoso,Business,1
Riera,Naturaleza,Barcelona,4,96,la Global (Gloobal Club),41.531198,2.097682,,"un club en la Zona Hermética de Sabadell, Marcel Bru dice que había estado allí con su primo y amigos después de dejar a Laura","A nightclub in an industrial area of Sabadell, Marcel B says that he was here with his cousin and friends after dropping off Laura",Bru,Real,Sospechoso,Bar Restaurant,1
Riera,Naturaleza,Barcelona,4,99,Hotel Sehrs Campus,41.500105,2.096316,,Doménica está con el profesor Bellpuig la noche de la desaparición de Laura,Doménica runs into professor Bellpuig the night of Laura's disappearance,Doménica y Bellpuig,Real,Investigador,Hotel,1
Riera,Naturaleza,Barcelona,4,101,el Robador 23,41.379675,2.170717,,"un bar en el Raval, Bru estaba allí con Laura y lleva a los policías allí","A bar in the Raval neighborhood, Marcel B was here with Laura and takes the police here","Bru, Laura",Real,Sospechoso,Bar Restaurant,1
Riera,Naturaleza,Barcelona,4,101,el Kentucky,41.377693,2.174699,,"un bar en el Raval, Bru estaba allí con Laura y lleva a los policías allí","A bar in the Raval neighborhood, Marcel B was here with Laura and takes the police here","Bru, Laura",Real,Sospechoso,Bar Restaurant,1
Riera,Naturaleza,Barcelona,4,103,el mercado de La Boquería,41.381732,2.171585,,Bru había dejado el coche en el aparcamiento la noche de la desaparición de Laura,Bru left his car in the parking garage the night of Laura's disappearance,Bru,Real,Sospechoso,Municipal,1
Riera,Naturaleza,Barcelona,4,105,el bosque,41.505032,2.109593,,"al lado de campus, hay un camino desde Ciudad Badia hasta el aparcamiento de la facultad de Letras de la Universidad. Un hombre y su perro descubren el cuerpo de Laura","Next to campus, there is a dirt path from Ciudad Badia to the parking lot of the Facultad de Letras on the university campus.  A man and his dog finds Laura's body here",Laura,Real,Cuerpo,Exterior,3
Riera,Naturaleza,Barcelona,4,107,la comisaría de Sabadell,41.541092,2.100651,,esta comisaría se encarga del caso cuando se convierte en un asesinato,This police district is placed in charge of the case now that it is a homicide,Mozos,Real,Investigador,Municipal,1
Riera,Naturaleza,Barcelona,4,109,la comisaría de Cerdañola,41.48559675,2.124028603,,Bru está aquí para ver el cuerpo de Laura,Bru is here to view Laura's body,Bru,Real,Víctima,Municipal,1
Riera,Naturaleza,Barcelona,4,109,Hospital Clínico de Barcelona,41.389749,2.152221,,el cuerpo de Laura es transportado al morgue aquí,Laura's body is transported to the morgue here,Narrador,Real,Víctima,Municipal,1
