Chapter,Location,Context Esp,Latitude,Longitude,Reality,Page,Section,Character category,Type of Space,Date in novel
,la facultad de Filosofía y Letras,,41.503254,2.107509,,198-199,8,,,
,el hotel Casa Fuster,,41.397976,2.158072,,186,8,,,
,Nápoles,,40.855923,14.267381,,184,8,,,
,Vilanova i la Geltrú,,41.219639,1.725156,,191,8,,,
,"la Vila Universitaria, UAB",,41.499684,2.096452,,192,8,,,
,la Universidad Autónoma de Barcelona,,41.50202,2.103888231,,197,8,,,
,el tanatorio de Les Corts,,41.38382,2.121457,,207,8,,,
,Hotel Sehrs Campus,,41.500465,2.095956,,158,7,,,
,"la Vila Universitaria, UAB",,41.49942944,2.096557441,,167,7,,,
,Hotel Sehrs Campus,,41.499745,2.095956,,166,7,,,
,Madrid,,40.419575,-3.702892,,171,7,,,
,Hotel Sehrs Campus,,41.500105,2.095596,,175,7,,,
